'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','Mapped','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Principale1,Principale2,Principale3,Cluster
172392,170340,33228,30880,200,9,4582816,183404,1117788,0,454696,929716,4582816,40,83252,23844,110956,7208,314716,1020,"-1,192208595","-1,314680477","0,2089647226",7
172392,170340,33228,30880,200,9,4582956,183436,1117788,0,454752,929696,4582956,152,83284,23844,110896,7204,316572,1530,"-1,332332168","-1,466825673","0,4211720619",6
172392,170340,33228,31352,200,60,4582548,183464,1117788,0,455272,929676,4582548,156,83556,23844,110892,7208,314456,1020,"-0,919283397","-1,08841205","0,1082657355",7
172392,170340,33228,31360,200,47,4582404,183492,1117788,0,455324,929652,4582404,144,83604,23844,110916,7204,314456,1020,"-0,986585182","-1,154535888","0,1109221571",7
172392,170340,33228,31416,200,33,4582516,183524,1117788,0,455436,929632,4582516,164,83664,23844,110864,7208,316588,1020,"-0,974150534","-1,15428002","0,1668916039",7
172392,170340,33228,31456,200,19,4582504,183580,1117788,0,455492,929672,4582504,156,83664,23844,110904,7204,316588,1530,"-1,23239131","-1,39652674","0,3975061295",6
172392,170340,33228,30880,200,9,4582708,183616,1117788,0,454960,929668,4582708,44,83256,23844,110916,7204,316368,2040,"-1,521841621","-1,646203144","0,6416356127",6
172392,170340,33228,30880,200,9,4582344,183652,1117788,0,454996,929668,4582344,8,83272,23844,110996,7208,318432,1530,"-1,260283134","-1,431051612","0,4407881492",6
172392,170340,33228,31356,200,59,4582192,183700,1117788,0,455488,929680,4582192,152,83556,23844,110908,7204,316200,1530,"-1,063005845","-1,254456441","0,3161397759",6
172392,171364,33228,31396,200,47,4581668,183736,1117788,0,455592,929668,4581668,152,83636,23844,110964,7208,315636,1020,"-0,901672825","-1,10950975","0,1278623686",7
172392,170340,33228,31532,200,33,4581904,183768,1117788,0,455752,929656,4581904,160,83880,23844,110952,7208,315364,1020,"-0,987727022","-1,168684897","0,1673442132",7
172392,170340,33228,31600,200,17,4581908,183808,1117788,0,455864,929648,4581908,152,83912,23844,110900,7208,319572,1020,"-0,932894377","-1,160020171","0,2044843101",7
172392,170340,33228,30880,200,9,4582436,183840,1117788,0,455212,929640,4582436,156,83356,23844,110932,7208,315192,1020,"-1,166541518","-1,305465751","0,2179109014",7
172392,170340,33228,30880,200,9,4582700,183876,1117788,0,455272,929620,4582700,28,83168,23844,110920,7208,317244,1020,"-1,114363245","-1,279902064","0,2104561355",7
172392,170340,33228,31460,200,64,4581888,183912,1117792,0,455856,929604,4581888,32,83660,23844,110972,7208,317116,1020,"-0,800626001","-1,031846031","0,0979879065",7
172392,170340,33228,31488,200,52,4581752,183944,1117792,0,455976,929588,4581752,156,83776,23844,110956,7208,314872,1530,"-1,102480889","-1,280029223","0,354244448",6
172392,170340,33228,31512,200,47,4581916,183984,1117792,0,456040,929580,4581916,160,83736,23844,110872,7208,316992,2040,"-1,250863383","-1,434719648","0,5929101104",6
172392,170340,33228,31632,200,31,4581672,184032,1117796,0,456212,929592,4581672,152,83976,23844,110884,7208,316992,1530,"-1,121319155","-1,315429271","0,3997758662",6
172392,170340,33228,31632,200,23,4582232,184068,1117796,0,456256,929576,4582232,152,83972,23844,110840,7208,316644,1020,"-0,986179264","-1,177686864","0,1874702003",7
172392,170340,33228,31640,200,15,4582164,184120,1117796,0,456276,929588,4582164,156,84024,23844,110960,7204,316644,1020,"-1,027954378","-1,22653331","0,181686961",7
172392,170340,33228,31632,200,9,4581848,184148,1117796,0,456344,929564,4581848,44,83828,23844,110912,7208,316688,1020,"-1,053581603","-1,243527102","0,2083303706",7
172392,170340,33228,31652,200,64,4581408,184192,1117792,0,456408,929564,4581408,12,83896,23844,111000,7208,314380,1530,"-1,040823405","-1,236182077","0,3206669792",6
172392,170340,33228,31468,200,55,4580976,184224,1117800,0,456280,929544,4580976,156,83696,23844,111024,7204,318484,1020,"-0,801394306","-1,065920942","0,1030156544",7
172392,170340,33228,31512,200,44,4581692,184260,1117800,0,456380,929532,4581692,144,83728,23844,110884,7204,313620,1020,"-0,999549508","-1,176769094","0,1151440262",7
172392,170340,33228,31648,200,30,4581548,184300,1117800,0,456576,929516,4581548,164,83976,23844,110928,7208,315632,1020,"-0,974885435","-1,172708439","0,1735045359",7
172392,170340,33228,31616,200,18,4581520,184336,1117800,0,456580,929512,4581520,156,83884,23844,110936,7204,317736,1020,"-0,983811469","-1,207157523","0,1758174967",7
172392,170340,33228,30880,200,9,4581972,184352,1117800,0,455908,929468,4581972,160,83156,23844,111004,7204,317572,1530,"-1,289955496","-1,469064626","0,4225931284",6
172392,170340,33228,30880,200,9,4582096,184380,1117800,0,455968,929432,4582096,20,83204,23844,110912,7204,317572,1530,"-1,289611811","-1,46510483","0,4145371898",6
172392,170340,33228,31456,200,60,4581432,184412,1117800,0,456600,929412,4581432,20,83668,23844,110888,7204,317420,1020,"-0,812922295","-1,060360923","0,08178713",7
172392,170340,33228,31504,200,48,4581528,184476,1117792,0,456652,929440,4581528,156,83712,23844,110908,7208,317440,1530,"-1,039607912","-1,25931931","0,364553491",6
172392,170340,33228,31540,200,37,4581492,184508,1117800,0,456772,929412,4581492,160,83748,23844,110888,7204,317224,1020,"-0,918113983","-1,14746647","0,1356217077",7
172392,170340,33228,31584,200,28,4581820,184548,1117800,0,456824,929424,4581820,156,83884,23844,110908,7208,317180,1020,"-0,943740768","-1,161016508","0,1786123709",7
172392,170340,33228,31648,200,11,4581080,184596,1117800,0,456936,929420,4581080,156,84020,23844,111012,7204,314800,1020,"-1,090054397","-1,281011755","0,1880018385",7
172392,170340,33228,30880,200,9,4581352,184628,1117800,0,456256,929392,4581352,144,83176,23844,111000,7208,314460,1530,"-1,366169128","-1,507128087","0,4415632548",6
172392,170340,33228,31460,200,61,4580688,184668,1117796,0,456880,929384,4580688,40,83768,23844,111008,7208,316432,1530,"-1,000465412","-1,232593471","0,3333378394",6
172392,170340,33228,31504,200,48,4580916,184704,1117804,0,456972,929380,4580916,24,83736,23844,111020,7208,316432,1020,"-0,875025373","-1,112324044","0,1303107518",7
172392,170340,33228,31644,200,39,4581104,184740,1117808,0,457140,929388,4581104,172,83940,23844,111028,7208,316244,1020,"-0,906287324","-1,136524433","0,1572702661",7
172392,170340,33228,31576,200,29,4580696,184784,1117804,0,457120,929384,4580696,148,83884,23844,110980,7208,315904,1020,"-0,968841675","-1,186801125","0,1758620474",7
172392,170340,33228,31584,200,22,4581240,184832,1117808,0,457164,929396,4581240,152,83880,23844,110988,7204,315904,1530,"-1,198578513","-1,398721451","0,3927654128",6
172392,170340,33228,31648,200,13,4580924,184856,1117808,0,457280,929364,4580924,156,84028,23844,110992,7208,313784,1020,"-1,096787237","-1,275433245","0,2063279522",7
172392,170340,33228,30880,200,9,4581204,184880,1117808,0,456588,929324,4581204,164,83164,23844,111048,7208,318104,1530,"-1,252798609","-1,452983323","0,448496744",6
172392,170340,33228,30880,200,9,4581460,184908,1117808,0,456632,929308,4581460,24,83208,23844,110912,7204,315684,1530,"-1,336300781","-1,501040836","0,4123656971",6
172392,170340,33228,31468,200,56,4580952,184940,1117808,0,457212,929292,4580952,24,83684,23844,110944,7208,315608,1020,"-0,864807703","-1,09562422","0,1119375302",7
172392,170340,33228,31528,200,42,4580956,184972,1117808,0,457376,929256,4580956,144,83768,23844,110972,7208,315608,1020,"-0,92249828","-1,145665364","0,147561162",7
172392,170340,33228,31560,200,36,4580756,184988,1117808,0,457456,929220,4580756,164,83884,23844,110880,7208,315452,1530,"-1,135168854","-1,335344828","0,3882901548",6
172392,170340,33228,31612,200,21,4580628,185012,1117808,0,457572,929188,4580628,156,83880,23844,110928,7208,315056,1530,"-1,213230008","-1,401702425","0,4170829524",6
172392,170340,33228,30880,200,9,4581452,185032,1117808,0,456912,929148,4581452,160,83356,23844,110988,7204,315056,1530,"-1,344674499","-1,506792687","0,4220556168",6
172392,170340,33228,30880,200,9,4580848,185044,1117808,0,456976,929100,4580848,148,83172,23844,110968,7204,314924,1530,"-1,354906678","-1,518497988","0,4186294118",6
172392,170340,33228,31360,200,57,4580712,185072,1117808,0,457484,929084,4580712,32,83660,23844,110880,7208,316696,1020,"-0,832388285","-1,078368966","0,113216685",7
172392,170340,33228,31492,200,49,4580032,185104,1117808,0,457648,929092,4580032,16,83708,23844,110956,7208,316140,1020,"-0,87301749","-1,118674267","0,127287448",7
172392,170340,33228,31632,200,38,4579996,185124,1117808,0,457832,929076,4579996,164,83972,23844,110960,7208,316140,1020,"-0,904764542","-1,146235146","0,1596947437",7
172392,170340,33228,31648,200,26,4580704,185156,1117808,0,457872,929080,4580704,156,83972,23844,110932,7208,317956,1020,"-0,908925636","-1,160200995","0,1851116973",7
172392,170340,33228,31612,200,15,4581032,185188,1117808,0,457876,929072,4581032,156,83984,23844,110956,7208,315724,1020,"-1,029144227","-1,23931588","0,2046819155",7
172392,170340,33228,31628,200,9,4580592,185228,1117808,0,457936,929068,4580592,144,83968,23844,110904,7204,313304,1020,"-1,138554833","-1,317776974","0,1880016144",7
172392,170340,33228,31628,200,9,4580352,185260,1117812,0,457980,929060,4580352,160,83968,23844,110984,7204,313304,2040,"-1,507305185","-1,663830407","0,6438073508",6
172392,170340,33228,31628,200,60,4579696,185292,1117812,0,458020,929056,4579696,24,83972,23844,110872,7208,315352,1530,"-1,009032831","-1,24413725","0,3326700733",6
172392,170340,33228,31628,200,48,4579536,185332,1117812,0,458060,929052,4579536,36,83972,23844,110964,7208,315352,1530,"-1,062716502","-1,295316622","0,3584846865",6
172392,170340,33228,31628,200,35,4579772,185372,1117812,0,458092,929060,4579772,148,83968,23844,110836,7208,315036,1530,"-1,136614532","-1,345970579","0,3893052222",6
172392,170340,33228,31628,200,21,4580388,185396,1117816,0,458148,929032,4580388,164,83968,23844,110796,7208,314992,1020,"-1,020674128","-1,226603315","0,190560248",7
