'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed','avgLatency','Errors',Principale1,Principale2,Principale3,Principale4,Cluster
153484,151436,26612,26468,160,18,5600696,36280,334684,0,142732,306972,5600696,8159224,20,0,78740,23772,27860,7192,296768,1530,0,2,"-14,87262605","11,586682285","-2,211282172","-0,020175635",1
153484,151436,26612,26468,160,9,5600512,36376,334684,0,142736,307064,5600512,8159224,44,0,78740,23772,27916,7196,298824,1530,0,2,"-14,84103598","11,596099849","-2,16980488","-0,024573036",1
153484,151436,26612,26468,160,9,5600404,36472,334684,0,142736,307160,5600404,8159224,24,0,78740,23772,27900,7192,298824,1530,0,2,"-14,85009164","11,579694213","-2,190934566","-0,024848508",1
153484,151436,26612,26468,160,55,5599416,36568,334684,0,142736,307256,5599416,8159224,48,0,78740,23772,28100,7196,296496,1530,0,2,"-14,68453951","11,728126437","-2,260583756","0,0031004212",1
153484,151436,26612,26468,160,39,5599916,36672,334684,0,142740,307360,5599916,8159224,20,0,78744,23772,27936,7196,298596,2040,0,2,"-14,88474905","11,534018741","-2,023899035","0,0489037225",1
153484,151436,26612,26468,160,28,5600120,36768,334684,0,142740,307448,5600120,8159224,172,0,78744,23772,27928,7196,298484,1530,0,2,"-14,75624567","11,661755308","-2,20083171","-0,012999543",1
153484,151436,26612,26468,160,12,5599636,36864,334684,0,142736,307552,5599636,8159224,144,0,78740,23772,27848,7192,296156,1020,0,2,"-14,72650776","11,716164746","-2,398909359","-0,079488812",1
153484,151436,26612,26468,160,9,5554656,55856,342108,0,149612,327972,5554656,8159224,3944,0,79596,23976,45512,7436,299332,1020,0,2,"-13,19704459","11,946319894","-0,183564227","-0,076143768",1
153484,151436,26612,26468,160,55,5397504,81168,435176,0,167336,430616,5397504,8159224,4764,0,81704,24376,81332,7424,302560,1530,0,2,"-10,9453532","9,5059933317","1,6736262883","0,0015837066",1
153484,151436,26612,26468,160,45,5160008,83244,656460,0,230156,597448,5160008,8159224,221152,0,87804,25312,89796,7796,304888,2040,0,2,"-7,514162573","10,681342734","18,39323632","0,0785013428",2
153484,151436,26612,26468,160,32,5084564,83540,693480,0,327380,575804,5084564,8159224,121820,0,126116,28324,90284,7984,343200,2040,0,2,"-2,654738925","13,843466469","23,38969156","-0,011866538",2
153484,151436,26612,26468,160,20,5044360,83684,732680,0,365572,576940,5044360,8159224,115360,0,126116,28324,91172,7984,347336,2040,0,2,"-2,137830152","13,313398084","23,191616079","-0,022293923",2
153484,151436,26612,26472,160,14,5008324,83852,767660,0,380596,597076,5008324,8159224,108968,0,126120,28324,92116,7984,344944,2040,0,2,"-1,895499513","12,713882739","22,970459216","-0,028291831",2
170340,170340,28344,28344,196,161,4956280,84000,814496,0,451508,575060,4956280,8159224,117924,0,127992,28324,93792,8016,361764,2040,0,2,"1,5484987213","14,085572582","22,969763181","0,0819928526",2
170344,170340,31144,31140,200,64,4902916,84164,864428,0,454384,624920,4902916,8159224,142552,0,130788,28324,95252,8024,366024,2040,0,2,"2,0853578277","13,629560396","24,561669311","0,0339162538",2
170344,170340,31144,31140,200,52,4655664,89480,1090572,0,541220,773332,4655664,8159224,324400,1760,134500,29956,106788,8028,365264,2040,0,2,"5,5000664801","17,599995519","67,796496705","0,0655489356",4
