 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 406288  68632  24596 409664    0    0     0    12 3506  707  1 23 74  1  0
 2  0 406288  68632  24596 409676    0    0     0     0 3377  768  2 23 74  0  0
 1  0 406288  68632  24596 409676    0    0     0     0 3754  700  7 34 59  0  0
 0  0 406288  68632  24596 409688    0    0     0     0 3497  699  3 26 71  0  0
 0  0 406288  68632  24596 409692    0    0     0     0 2751  739  1 20 79  0  0
 0  0 406288  68632  24604 409700    0    0     0    12 3494  778  2 29 69  0  0
 0  0 406288  68632  24604 409704    0    0     0     0 3544  765  4 28 67  0  0
 0  0 406288  68632  24604 409712    0    0     0     0 3265  739  1 23 76  0  0
 0  0 406288  68632  24604 409716    0    0     0     0 2909  654  3 19 77  0  0
 0  0 406288  68632  24604 409732    0    0     0     0 3756  823  5 34 62  0  0
 1  0 406288  68632  24612 409732    0    0     0    28 3754  697  1 33 66  0  0
 0  0 406288  68632  24612 409744    0    0     0     0 4022  811  4 33 64  0  0
 0  0 406288  68632  24612 409748    0    0     0     0 3261  712  5 21 74  0  0
 0  0 406288  68632  24612 409756    0    0     0     0 3193  728  2 22 76  0  0
 1  0 406288  68632  24612 409760    0    0     0     0 3316  640  2 26 71  0  0
 1  0 406288  68632  24620 409768    0    0     0    12 3608  714  3 24 73  0  0
 0  0 406288  68632  24620 409772    0    0     0     0 3225  630  3 25 72  0  0
 1  0 406288  68632  24620 409784    0    0     0     0 3642  795  9 49 43  0  0
 0  0 406288  68632  24620 409784    0    0     0     0 4119  813  7 43 50  0  0
 0  0 406288  68632  24620 409796    0    0     0     0 3016  748  6 24 70  0  0
 0  0 406288  68632  24628 409800    0    0     0    12 3379  745  2 24 74  0  0
 0  0 406288  68632  24628 409804    0    0     0     0 3628  745  3 28 69  0  0
 0  0 406288  68632  24628 409816    0    0     0     0 3395  728  1 27 72  0  0
 0  0 406288  68632  24628 409816    0    0     0     0 3427  755  5 23 73  0  0
 0  0 406288  68632  24628 409828    0    0     0     0 2956  742  2 23 75  0  0
 0  0 406288  68632  24636 409832    0    0     0   232 3463  717  3 26 71  0  0
 0  0 406288  68632  24644 409840    0    0     0    56 3625  685  2 28 69  0  0
 0  0 406288  68632  24644 409844    0    0     0     0 3490  741  4 24 73  0  0
 1  0 406288  68632  24668 410208    0    0   228   108 3526 1259 13 36 50  1  0
 1  0 406288  68632  24668 410216    0    0     0     0 3248  902  6 34 60  0  0
 0  0 406288  68632  24668 410224    0    0     0     0 3731  733  6 32 62  0  0
 0  0 406288  68632  24668 410224    0    0     0     0 3493  863  5 28 67  0  0
 0  0 406288  68632  24668 410236    0    0     0     0 3181  681  3 25 71  0  0
 0  0 406288  68632  24676 410244    0    0     0    24 3747  810  6 33 61  0  0
 0  0 406288  68632  24676 410244    0    0     0     0 3350  710  3 31 66  0  0
 0  0 406288  68632  24676 410256    0    0     0     0 3173  663  3 22 74  0  0
 0  0 406288  68632  24676 410256    0    0     0     0 3570  690  5 27 68  0  0
 0  0 406288  68632  24676 410268    0    0     0     0 3420  845  3 24 72  0  0
 0  0 406288  68632  24684 410264    0    0     0    12 3217  729  2 26 72  0  0
 0  0 406288  68632  24684 410276    0    0     0     0 2641  784  3 16 80  0  0
 0  0 406288  68632  24684 410280    0    0     0     4 3471  749  4 21 75  0  0
 0  0 406288  68632  24684 410292    0    0     0     0 3921  748  4 35 61  0  0
 0  0 406288  68632  24684 410292    0    0     0     0 2672  658  2 19 79  0  0
 0  0 406288  68632  24692 410304    0    0     0    36 3311  650  2 24 74  0  0
 0  0 406288  68632  24692 410308    0    0     0     0 3239  687  2 22 75  0  0
 0  0 406288  68632  24692 410312    0    0     0     0 3653  827  5 35 60  0  0
 0  0 406288  68632  24692 410324    0    0     0     0 3258  739  5 32 63  0  0
 0  0 406288  68632  24692 410324    0    0     0     0 3451  708  1 27 72  0  0
 0  0 406288  68632  24700 410336    0    0     0    12 4024  770  5 33 62  0  0
 1  0 406288  68632  24700 410340    0    0     0     0 3615  740  3 29 69  0  0
 0  0 406288  68632  24700 410348    0    0     0     0 3545  762  4 27 69  0  0
 0  0 406288  68632  24700 410352    0    0     0     0 3593  811  6 28 66  0  0
 2  0 406288  68632  24700 410360    0    0     0     0 2627  710  3 18 79  0  0
 0  0 406288  68632  24708 410356    0    0     0    12 3146  766  4 30 66  0  0
 2  0 406288  68632  24708 410376    0    0     0     0 3581  797  2 32 66  0  0
 0  0 406288  68632  24708 410376    0    0     0     0 3212  744  3 21 76  0  0
 0  0 406288  68632  24708 410388    0    0     0   204 3317  748  4 27 69  0  0
 0  0 406288  68632  24708 410392    0    0     0     0 3727  666  2 24 73  0  0
 0  0 406288  68632  24716 410400    0    0     0    24 3560  770  5 26 69  0  0
 0  0 406288  68632  24716 410404    0    0     0     0 3483  841  5 34 61  0  0
 1  0 406288  68632  24716 410412    0    0     0     0 3094  753  2 25 73  0  0
 0  0 406288  68632  24716 410416    0    0     0   768 3910  880  5 43 52  0  0
 0  0 406288  68632  24716 410428    0    0     0     0 3515  792  7 20 73  0  0
 0  0 406288  68632  24728 410416    0    0     0    44 2564  713  3 19 76  1  0
 0  0 406288  68632  24728 410440    0    0     0     0 3315  642  2 28 70  0  0
 0  0 406288  68632  24728 410444    0    0     0     0 3436  735  4 23 73  0  0
 1  0 406288  68632  24728 410448    0    0     0     0 3665  786  4 28 68  0  0
 0  0 406288  68632  24728 410460    0    0     0     0 3025  746  2 21 76  0  0
