,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
253,0,0,185100,57872,10792,309064,0,0,0,0,539,370,0,16,84,0,0
254,0,0,185100,57872,10792,309064,0,0,0,0,503,351,0,15,85,0,0
255,1,0,185100,57872,10800,309068,0,0,0,44,391,346,0,8,92,0,0
256,0,0,185100,57872,10800,309068,0,0,0,0,936,375,0,35,65,0,0
257,0,0,185100,57872,10816,309104,0,0,24,112,546,731,2,14,84,0,0
258,0,0,185100,57872,10816,309104,0,0,0,0,400,361,0,9,91,0,0
259,0,0,185100,57872,10816,309108,0,0,0,0,633,352,0,20,80,0,0
260,0,0,185100,57872,10816,309108,0,0,0,0,1009,432,0,38,63,0,0
261,0,0,185100,57872,10816,309112,0,0,0,0,355,346,0,6,94,0,0
262,1,0,185100,57872,10824,309108,0,0,0,36,665,370,0,21,79,0,0
263,0,0,185100,57872,10824,309116,0,0,0,0,381,349,0,8,92,0,0
264,0,0,185100,57872,10824,309120,0,0,0,0,635,327,0,21,79,0,0
265,0,0,186644,66832,10440,304872,0,1584,0,1584,1016,425,0,36,64,0,0
266,0,0,186644,66832,10440,304872,0,0,0,0,663,362,0,21,79,0,0
267,1,0,186644,66832,10448,304960,0,0,88,24,836,446,0,29,71,0,0
268,0,0,186644,66832,10448,304960,0,0,0,804,1051,407,0,38,62,0,0
269,1,0,186644,66832,10448,304964,0,0,0,0,355,340,0,7,93,0,0
270,0,0,186644,66832,10448,304964,0,0,0,0,508,359,0,14,86,0,0
271,1,0,186644,66832,10448,304968,0,0,0,0,696,362,0,23,77,0,0
272,0,0,186644,66832,10460,304960,0,0,0,56,586,359,0,18,81,1,0
273,0,0,186644,66832,10460,304972,0,0,0,0,650,337,0,21,79,0,0
274,0,0,186644,66832,10460,304976,0,0,0,0,1010,390,0,28,72,0,0
275,0,0,186644,66832,10460,304980,0,0,0,0,403,338,0,7,93,0,0
276,1,0,186644,66832,10460,304980,0,0,0,0,702,350,0,22,78,0,0
277,0,0,186644,66832,10468,304984,0,0,0,16,619,343,0,21,79,0,0
278,0,0,186644,66832,10468,304984,0,0,0,0,764,371,0,26,74,0,0
279,0,0,186644,66832,10468,304988,0,0,0,0,565,343,0,18,82,0,0
280,0,0,186644,66832,10468,304988,0,0,0,0,892,400,0,31,69,0,0
281,1,0,186644,66832,10468,304992,0,0,0,0,814,375,0,30,70,0,0
282,1,0,186644,66832,10476,304984,0,0,0,16,554,369,0,17,83,0,0
283,0,0,186644,66832,10476,304996,0,0,0,0,673,384,0,22,78,0,0
284,0,0,186644,66832,10476,305000,0,0,0,0,542,341,0,16,84,0,0
285,0,0,186644,66832,10476,305000,0,0,0,0,487,358,0,13,87,0,0
286,0,0,186644,66832,10476,305004,0,0,0,0,376,343,0,8,92,0,0
287,1,0,186644,66832,10476,305004,0,0,0,0,791,373,0,26,74,0,0
288,0,0,186644,66832,10484,305008,0,0,0,100,664,370,0,22,78,0,0
289,0,0,186644,66832,10484,305012,0,0,0,0,475,348,0,14,86,0,0
290,0,0,186644,66832,10484,305012,0,0,0,0,551,351,0,16,84,0,0
291,0,0,186644,66832,10484,305016,0,0,0,0,544,337,0,17,83,0,0
292,0,0,186644,66832,10484,305020,0,0,0,0,975,382,0,36,64,0,0
293,0,0,186644,66832,10496,305020,0,0,0,32,806,373,0,29,71,0,0
294,0,0,186644,66832,10496,305024,0,0,0,0,640,385,0,20,80,0,0
295,0,0,186644,66832,10496,305024,0,0,0,0,581,336,0,18,82,0,0
296,0,0,186644,66832,10504,305028,0,0,0,44,598,400,0,16,84,0,0
297,1,0,186644,66832,10504,305028,0,0,0,0,577,336,0,18,82,0,0
298,0,0,186644,66832,10504,305032,0,0,0,0,797,393,0,29,71,0,0
299,0,0,186644,66832,10504,305032,0,0,0,0,380,328,0,8,92,0,0
300,1,0,186644,66832,10504,305036,0,0,0,0,528,374,0,15,85,0,0
301,0,0,186644,66832,10512,305032,0,0,0,48,577,358,0,17,83,0,0
302,0,0,186644,66832,10512,305044,0,0,0,0,787,366,0,29,71,0,0
303,1,0,186644,66832,10512,305048,0,0,0,0,945,402,0,34,66,0,0
304,2,0,186644,66832,10512,305048,0,0,0,0,682,753,13,33,55,0,0
305,4,0,186644,66832,10512,305052,0,0,0,0,1125,667,28,64,8,0,0
306,3,0,186644,66832,10520,305048,0,0,0,16,1342,668,27,71,1,0,0
307,2,0,186644,66832,10520,305056,0,0,0,0,1114,624,33,65,1,0,0
308,2,0,186644,66832,10520,305060,0,0,0,0,1397,592,27,72,1,0,0
