r,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
4,185100,57872,10528,308700,0,0,0,0,673,346,0,22,78,"-2,744839015","-0,049299758","1,0218466941","0,7574905916","-0,782966151","-1,528875531","0,9614469549"
1,185100,57872,10536,308704,0,0,0,16,734,388,0,25,75,"-2,852535706","0,1219718858","0,6834870716","0,5993735724","-0,338095665","-0,285722172","0,0548326498"
0,185100,57872,10536,308704,0,0,0,0,383,315,0,8,92,"-4,111929472","-0,005653447","0,076833147","-0,032368126","-0,025655586","0,0191599975","0,0689704683"
0,185100,57872,10536,308708,0,0,0,0,362,346,0,6,94,"-4,096069716","0,0672236507","0,2253051934","-0,023310444","-0,041793914","0,0823845167","0,0868611226"
0,185100,57872,10536,308708,0,0,0,0,627,313,0,20,80,"-3,505925431","-0,103194462","0,133194933","0,2449812509","-0,072512613","-0,018286138","-0,108734585"
0,185100,57872,10536,308712,0,0,0,0,750,415,0,25,75,"-2,893076072","0,0523939924","0,683810597","0,5213831855","-0,169784857","0,1612516252","-0,213788048"
0,185100,57872,10544,308716,0,0,0,16,633,339,0,21,79,"-3,369736615","0,056167289","0,2271471987","0,3305425794","-0,11376659","0,0367147797","-0,147458916"
0,185100,57872,10544,308716,0,0,0,0,748,372,0,24,76,"-3,06759361","-0,029652961","0,4496473339","0,4527139672","-0,13236316","0,0925313273","-0,191478457"
0,185100,57872,10544,308720,0,0,0,0,557,344,0,17,83,"-3,558492113","-0,02275188","0,2671912688","0,2276114499","-0,081219157","0,065202718","-0,071697247"
0,185100,57872,10544,308720,0,0,0,0,746,385,0,26,74,"-2,956244885","-0,014338297","0,5268526197","0,4996379148","-0,148225313","0,1176599586","-0,21716945"
3,185100,57872,10544,308724,0,0,0,0,691,340,0,22,78,"-2,87986731","-0,072368291","0,8004238876","0,6732486978","-0,606603383","-1,125640746","0,6808663918"
0,185100,57872,10552,308724,0,0,0,16,671,362,0,21,78,"-3,240292877","0,0891753929","0,3410901596","0,3979177155","-0,13219924","0,0903280531","-0,167508627"
0,185100,57872,10552,308728,0,0,0,0,645,362,0,22,78,"-3,248046415","-0,029155607","0,3782449686","0,3739888004","-0,112016206","0,1011248119","-0,149013994"
1,185100,57872,10552,308732,0,0,0,0,354,353,0,8,92,"-3,862855605","0,0639057377","0,4302905764","0,1397937264","-0,217776736","-0,263607812","0,3393410676"
1,185100,57872,10552,308732,0,0,0,0,862,356,0,29,71,"-2,715327251","-0,105092085","0,5629908288","0,6701233862","-0,308183316","-0,327655621","0,0125216148"
0,185100,57872,10552,308736,0,0,0,0,495,354,0,14,86,"-3,676121498","0,0158370158","0,294241135","0,184421597","-0,074783244","0,1078086942","-0,030654516"
0,185100,57872,10560,308740,0,0,0,16,781,392,0,27,73,"-2,856796459","0,1000402153","0,5160706194","0,5821321293","-0,174745353","0,1467981763","-0,256903745"
0,185100,57872,10560,308740,0,0,0,0,641,387,0,20,80,"-3,233778173","0,0256411684","0,4878956508","0,3922559136","-0,12241095","0,164503946","-0,133317687"
1,185100,57872,10560,308744,0,0,0,0,683,355,0,23,77,"-3,066051193","-0,056695038","0,5157061118","0,5139848288","-0,278726661","-0,291086477","0,1110343343"
0,185100,57872,10560,308744,0,0,0,76,641,361,0,19,81,"-3,337764992","0,5453976733","0,1791305556","0,4405573874","-0,197923149","0,0785839265","-0,204547027"
0,185100,57872,10560,308748,0,0,0,0,682,337,0,22,78,"-3,300668692","-0,087023397","0,2437803413","0,3681877894","-0,093461178","0,0636617145","-0,150105486"
0,185100,57872,10572,308748,0,0,0,32,496,373,0,14,86,"-3,58860756","0,2802934541","0,2976700528","0,2772602483","-0,124735431","0,1623388539","-0,075088502"
1,185100,57872,10572,308752,0,0,0,0,608,389,0,18,82,"-3,178270286","0,0383948027","0,6496524379","0,4737200769","-0,28199853","-0,194664876","0,1705159091"
1,185100,57872,10572,308756,0,0,0,0,870,387,0,32,68,"-2,487735059","-0,071653099","0,7166187577","0,7870912741","-0,335826378","-0,234938321","-0,032861641"
0,185100,57872,10572,308756,0,0,0,16,640,346,0,20,80,"-3,361016351","0,0590478757","0,2297645843","0,3690360691","-0,109426345","0,0993300639","-0,142373681"
0,185100,57872,10572,308760,0,0,0,0,447,373,0,10,90,"-3,779074849","0,0688517694","0,3494470828","0,1610176407","-0,069410598","0,1864880698","0,0157463645"
0,185100,57872,10580,308760,0,0,0,24,726,386,0,23,77,"-3,04585861","0,1651624459","0,4247376467","0,5282050831","-0,160564244","0,1739994572","-0,211926671"
1,185100,57872,10580,308764,0,0,0,0,533,358,0,14,86,"-3,477515316","0,0044511102","0,4609939222","0,3495843061","-0,241184033","-0,229372848","0,236057012"
0,185100,57872,10580,308768,0,0,0,0,609,347,0,18,82,"-3,452303015","-0,047947702","0,2520193042","0,3188896124","-0,080066705","0,1277296647","-0,09677719"
0,185100,57872,10580,308768,0,0,0,0,702,348,0,23,77,"-3,200023765","-0,083821339","0,2845522451","0,4326324787","-0,10049279","0,1165449623","-0,169718986"
0,185100,57872,10580,308772,0,0,0,0,553,354,0,15,85,"-3,579418099","-0,011760971","0,2718253541","0,2628230156","-0,073606042","0,1495320858","-0,05510913"
0,185100,57872,10588,308772,0,0,0,16,634,370,0,21,79,"-3,239810146","0,0930457902","0,3408164092","0,435386564","-0,125963553","0,1735480454","-0,160433568"
0,185100,57872,10588,308776,0,0,0,0,825,417,1,30,69,"-2,574826559","0,0397313575","0,9299792129","0,5601696045","-0,186585643","0,3431199207","-0,474215538"
0,185100,57872,10588,308776,0,0,0,0,547,345,0,16,84,"-3,572823739","-0,037457502","0,2219265719","0,2696761603","-0,067470642","0,1460686099","-0,063557979"
0,185100,57872,10588,308780,0,0,0,0,658,366,0,22,78,"-3,205309761","-0,042157305","0,3627459871","0,4359906773","-0,10685373","0,1712261332","-0,156336633"
1,185100,57872,10588,308784,0,0,0,48,951,382,0,35,65,"-2,315929738","0,2409552338","0,5843947589","0,9450404551","-0,40314958","-0,249730836","-0,137869444"
1,185100,57872,10600,308784,0,0,0,32,738,380,0,24,76,"-2,870057989","0,1964715568","0,5357848516","0,6820352555","-0,33385555","-0,196622701","0,0420389659"
0,185100,57872,10600,308788,0,0,0,0,705,370,0,24,76,"-3,075874089","-0,056994739","0,3813225838","0,5052806273","-0,11492722","0,1926984469","-0,189228673"
0,185100,57872,10600,308792,0,0,0,0,779,349,0,28,72,"-2,948372068","-0,127951841","0,2961488096","0,5653960332","-0,115134838","0,142387501","-0,241878543"
0,185100,57872,10600,308792,0,0,0,0,700,363,0,25,75,"-3,06904094","-0,0749847","0,3509422847","0,5077438663","-0,112674868","0,1800643159","-0,197863035"
0,185100,57872,10600,308796,0,0,0,0,552,343,0,16,84,"-3,569902337","-0,048396284","0,1999861462","0,2865574884","-0,063388172","0,1632590325","-0,065319854"
2,185100,57872,10608,308796,0,0,0,16,416,368,0,12,88,"-3,447652358","0,1547690652","0,6097196094","0,4460565189","-0,419387526","-0,54223274","0,5321994301"
0,185100,57872,10608,308800,0,0,0,0,577,335,0,18,82,"-3,500459804","-0,081408323","0,16092276","0,3230702838","-0,062516573","0,1575357939","-0,090763271"
2,185100,57872,10608,308800,0,0,0,0,716,383,0,24,76,"-2,744931627","-0,036461697","0,7901566923","0,7533440853","-0,460953937","-0,546333736","0,3588738183"
0,185100,57872,10608,308804,0,0,0,0,615,367,0,18,82,"-3,36460146","-0,024690284","0,3258894336","0,3885966782","-0,08829612","0,214697046","-0,106066604"
0,185100,57872,10608,308812,0,0,0,0,705,377,0,25,75,"-3,01617901","-0,052946932","0,4155487395","0,5441198327","-0,121693535","0,2215485976","-0,203590989"
0,185100,57872,10616,308812,0,0,0,16,657,341,0,20,79,"-3,321560658","0,0217909569","0,1633170405","0,4347389301","-0,097104763","0,1653802802","-0,155150733"
0,185100,57872,10616,308816,0,0,0,0,872,326,0,32,68,"-2,803361049","-0,213740666","0,1846675903","0,6527635064","-0,110744743","0,1139495591","-0,299028283"
0,185100,57872,10616,308820,0,0,0,0,773,366,0,27,73,"-2,924124365","-0,097717783","0,3623528886","0,5973250421","-0,120742354","0,2051196796","-0,235978521"
0,185100,57872,10616,308820,0,0,0,0,567,356,0,18,82,"-3,435916391","-0,043766685","0,2610860161","0,3627301983","-0,076049796","0,2143544037","-0,095684943"
0,185100,57872,10616,308824,0,0,0,0,515,367,0,13,87,"-3,616937514","0,0096758878","0,291180068","0,2866747463","-0,06663332","0,2439012857","-0,033295071"
0,185100,57872,10624,308824,0,0,0,16,394,340,0,9,91,"-3,931671074","0,1089937809","0,0848927505","0,164425861","-0,046820395","0,2135346129","0,0209252202"
1,185100,57872,10624,308828,0,0,0,0,821,391,0,31,69,"-2,519465594","-0,079543917","0,6783969622","0,8279167631","-0,320691616","-0,128651896","-0,019631497"
0,185100,57872,10624,308828,0,0,0,0,755,381,0,26,74,"-2,918052202","-0,065323158","0,4252566259","0,6071735577","-0,125949038","0,2503010841","-0,226280944"
0,185100,57872,10624,308832,0,0,0,0,900,383,0,34,66,"-2,51707538","-0,121514122","0,4797049349","0,7891521104","-0,158888868","0,2341181515","-0,342545925"
0,185100,57872,10624,308836,0,0,0,0,508,361,0,15,85,"-3,567933154","-0,015271789","0,2625932343","0,3136224867","-0,066027031","0,2469776031","-0,053852629"
5,185100,57872,10632,308836,0,0,0,16,581,349,0,19,81,"-2,712094055","0,04913813","1,052995374","0,9456269024","-0,935379266","-1,72349815","1,2580662292"
1,185100,57872,10632,308840,0,0,0,0,496,358,0,13,87,"-3,514267024","-0,012909563","0,4029374445","0,3912859233","-0,22376877","-0,13181396","0,2480944422"
0,185100,57872,10632,308840,0,0,0,0,477,361,0,13,87,"-3,656441048","-0,005047571","0,2429034461","0,280521695","-0,056239147","0,2647933061","-0,026523848"
0,185100,57872,10632,308844,0,0,0,0,518,366,0,17,83,"-3,467756025","-0,021143884","0,290224538","0,3633527124","-0,074281503","0,2685813977","-0,080199588"
